SUBDIVISION,YEAR,month,date,rainfall_mm,rainfall_zscore,extreme_precipitation_event,district,subdivision,population,area_sq_km,population_density,exposure_deficit_Dd,healthcare_deficit_Hd,mobility_access_deficit_Md,housing_vulnerability_Vd,month_sin,month_cos,is_monsoon,rainfall_lag_1,rainfall_lag_2,rolling_3_month_rainfall,monsoon_cumulative_rainfall,historical_extreme_count,risk_target,Qd,risk_prediction,Dd,Hd,Md,Vd,Rd,Sd,ddrps,risk_contribution,exposure_contribution,healthcare_contribution,mobility_contribution,housing_contribution,population_contribution,road_contribution,shelter_contribution,priority_category
COASTAL ANDHRA PRADESH,1975,1,1975-01,0.2,-0.6319859118364152,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.4999999999999999,0.8660254037844387,0,0.0,36.3,12.166666666666686,0.0,61,0,0.228563457002114,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4456671673249325,0.15385704981060572,0.034518105324594095,0.44876537958320756,0.293516217344896,0.06934322549842768,0.034518105324594095,0.293516217344896,0.06934322549842768,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,2,1975-02,10.5,-0.1211917388305035,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8660254037844386,0.5000000000000001,0,0.2,0.0,3.566666666666685,0.0,61,0,0.1704685078505914,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4282386825794757,0.11942067179202022,0.0359229253058715,0.4670292607034394,0.3054617584769373,0.07216536037026863,0.0359229253058715,0.3054617584769373,0.07216536037026863,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,3,1975-03,0.3,-0.6449191287053153,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,1.0,6.123233995736766e-17,0,10.5,0.2,3.6666666666666856,0.0,61,0,0.243411915372759,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.450121704836126,0.16223073050011172,0.034176503953418945,0.4443242647665048,0.29061149411735193,0.06865698444639945,0.034176503953418945,0.29061149411735193,0.06865698444639945,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,4,1975-04,2.6,-1.1327958915174794,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8660254037844387,-0.4999999999999998,0,0.3,10.5,4.466666666666685,0.0,61,0,0.1627925411469846,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4259358925683937,0.1146598867332001,0.036117139865067815,0.4695542188249451,0.3071132142052444,0.07255551689383172,0.036117139865067815,0.3071132142052444,0.07255551689383172,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,5,1975-05,33.5,-0.4558958986607262,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.4999999999999999,-0.8660254037844387,0,2.6,0.3,12.133333333333352,0.0,61,1,0.6707574971223201,1,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.5783253793609943,0.3479481496723443,0.02660022687852987,0.3458260759068262,0.22618848573763453,0.05343704451336146,0.02660022687852987,0.22618848573763453,0.05343704451336146,PRIORITY_2_HIGH
COASTAL ANDHRA PRADESH,1975,6,1975-06,200.7,1.5218201513713303,1,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,1.2246467991473532e-16,-1.0,1,33.5,2.6,78.93333333333335,200.7,61,0,0.4385525868323754,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.5086639062740109,0.25864971318083385,0.030243125321925975,0.3931869228409402,0.2571649765160955,0.06075524248085832,0.030243125321925975,0.2571649765160955,0.06075524248085832,PRIORITY_2_HIGH
COASTAL ANDHRA PRADESH,1975,7,1975-07,154.2,-0.364733155603495,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.4999999999999997,-0.8660254037844388,1,200.7,33.5,129.46666666666667,354.9,62,0,0.3398750311608191,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.479060639572544,0.21283841500909076,0.03211198118723179,0.4174836738906773,0.27305633263744533,0.06450957640137121,0.03211198118723179,0.27305633263744533,0.06450957640137121,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,8,1975-08,210.9,0.631801935795467,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.8660254037844385,-0.5000000000000004,1,154.2,200.7,188.6,565.8,62,0,0.3911990531521503,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4944578461699434,0.23735029079062497,0.031112027799047225,0.40448341047545355,0.2645534749845942,0.06250077572610951,0.031112027799047225,0.2645534749845942,0.06250077572610951,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,9,1975-09,230.8,0.7749927474764629,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-1.0,-1.8369701987210292e-16,1,210.9,154.2,198.63333333333333,796.5999999999999,62,0,0.4052394667816634,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.49866997025879733,0.2437921768850137,0.03084923331184459,0.4010668536658352,0.26231886670880766,0.061972849375156173,0.03084923331184459,0.26231886670880766,0.061972849375156173,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,10,1975-10,300.8,1.1460961097561175,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.8660254037844386,0.5000000000000001,1,230.8,210.9,247.5,1097.4,62,0,0.1860122567678511,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.43290180725465366,0.12890608171674392,0.0355359713298852,0.4619985225942131,0.3021713905308976,0.07138801072833412,0.0355359713298852,0.3021713905308976,0.07138801072833412,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,11,1975-11,47.6,-0.3982534633465828,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.5000000000000004,0.8660254037844384,0,300.8,230.8,193.0666666666667,0.0,62,0,0.2290614567763681,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.44581656725720875,0.1541406052141128,0.03450653778121218,0.4486149914623123,0.29341785558530625,0.06931998752630691,0.03450653778121218,0.29341785558530625,0.06931998752630691,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1975,12,1975-12,0.3,-0.4673620218322529,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-2.4492935982947064e-16,1.0,0,47.6,300.8,116.23333333333332,0.0,62,0,0.1069182187791512,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4091735958580437,0.0783908472455905,0.037596722629156254,0.4887900811211827,0.31969448226964536,0.07552784229492115,0.037596722629156254,0.31969448226964536,0.07552784229492115,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,1,1976-01,0.0,-0.6493398707335469,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.4999999999999999,0.8660254037844387,0,0.3,47.6,15.966666666666685,0.0,62,0,0.2933364231758654,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.46509905717705796,0.18920899473500483,0.03307593511203542,0.43001591298367897,0.2812530777091262,0.0664460579593589,0.03307593511203542,0.2812530777091262,0.0664460579593589,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,2,1976-02,1.1,-0.5912608801142294,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8660254037844386,0.5000000000000001,0,0.0,0.3,0.4666666666666856,0.0,62,0,0.3108137029091171,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.47034224109703343,0.1982473627560593,0.032707218053950424,0.42522227066251644,0.27811778290826883,0.06570534435809157,0.032707218053950424,0.27811778290826883,0.06570534435809157,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,3,1976-03,2.7,-0.5251360334679889,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,1.0,6.123233995736766e-17,0,1.1,0.0,1.2666666666666857,0.0,62,0,0.1747943639958617,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.4295364394230568,0.12208116277254796,0.035814391508053496,0.4656182269715068,0.3045388680259681,0.07194732744101245,0.035814391508053496,0.3045388680259681,0.07194732744101245,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,4,1976-04,22.7,-0.1896153918262995,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8660254037844387,-0.4999999999999998,0,2.7,1.1,8.833333333333352,0.0,62,0,0.251737358703313,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.45261933783529223,0.1668536883634855,0.033987912006392285,0.4418724054915563,0.2890078488884948,0.06827812315645085,0.033987912006392285,0.2890078488884948,0.06827812315645085,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,5,1976-05,36.9,-0.4025372324002587,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.4999999999999999,-0.8660254037844387,0,22.7,2.7,20.766666666666683,0.0,62,0,0.3521973253758738,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.48275732783706043,0.21886606237029185,0.03186608542407867,0.4142868151856114,0.27096541850461153,0.06401559780106589,0.03186608542407867,0.27096541850461153,0.06401559780106589,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,6,1976-06,78.4,-0.8951135206096623,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,1.2246467991473532e-16,-1.0,1,36.9,22.7,46.00000000000002,78.4,62,0,0.3553905540355123,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.483715296434952,0.2204130503879168,0.031802976589671544,0.41346634547090805,0.2704287880556909,0.06388881882249553,0.031802976589671544,0.2704287880556909,0.06388881882249553,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,7,1976-07,199.0,0.467908291431779,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.4999999999999997,-0.8660254037844388,1,78.4,36.9,104.7666666666667,277.4,62,0,0.3922097899725165,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.49476106721605323,0.23781769102336572,0.03109296037024117,0.404235517323574,0.26439133979423485,0.062462471276808484,0.03109296037024117,0.26439133979423485,0.062462471276808484,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,8,1976-08,228.8,0.955140395093622,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.8660254037844385,-0.5000000000000004,1,199.0,78.4,168.73333333333338,506.2,62,0,0.4776357852850402,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.5203888658098104,0.27535318729196157,0.029561712945299207,0.38432796951850134,0.25137075399551645,0.059386357032322916,0.029561712945299207,0.25137075399551645,0.059386357032322916,PRIORITY_2_HIGH
COASTAL ANDHRA PRADESH,1976,9,1976-09,92.2,-1.4130137358073944,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-1.0,-1.8369701987210292e-16,1,228.8,199.0,173.33333333333337,598.4,62,0,0.3245675142958871,0,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.47446838451306445,0.2052196846297737,0.03242278462489452,0.4215243887957073,0.27569917321350546,0.06513394765989963,0.03242278462489452,0.27569917321350546,0.06513394765989963,PRIORITY_3_MEDIUM
COASTAL ANDHRA PRADESH,1976,10,1976-10,81.3,-1.0359746879780236,0,Chittoor,COASTAL ANDHRA PRADESH,4174064,15152.0,275.4794086589229,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,-0.8660254037844386,0.5000000000000001,1,92.2,228.8,134.10000000000002,679.6999999999999,62,1,0.7227352353913019,1,0.0615343462664663,1.0,0.8720702938879413,0.3090399957449055,0.8720702938879413,0.3090399957449055,0.593918700841689,0.3650677553332459,0.02590183856106382,0.336746420594435,0.2202499124801259,0.052034056193808166,0.02590183856106382,0.2202499124801259,0.052034056193808166,PRIORITY_2_HIGH
