SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Flood
COASTAL ANDHRA PRADESH,1937,0,71.8,15.2,86.3,30.3,59.3,172.5,153.7,108.7,185.2,8.9,0.2,892.2,No
COASTAL ANDHRA PRADESH,1938,0.1,31.9,7.6,3.5,82.6,158.9,161.3,176.1,294.2,115.2,174.4,0.4,1206.2,No
COASTAL ANDHRA PRADESH,1939,3,0,29.7,19.7,11.3,80.2,138.7,121.9,150.1,416.7,95.8,3.2,1070.3,No
COASTAL ANDHRA PRADESH,1940,0.2,5.3,65.6,15,202.1,120.3,157.4,186.6,122.1,106.3,75.8,12.4,1069,No
COASTAL ANDHRA PRADESH,1941,2.6,13.8,4.1,8.2,58.5,192.7,83,97.4,184.1,266.4,107.8,7.8,1026.5,No
COASTAL ANDHRA PRADESH,1942,2.9,5.6,2.1,37.2,30.5,84.7,130.9,196.1,142.1,159.7,85.6,2.4,879.8,No
COASTAL ANDHRA PRADESH,1943,20.2,5.3,1.6,72.5,46,142.1,129.5,116.6,195.4,208.2,40.2,0.2,977.9,No
COASTAL ANDHRA PRADESH,1944,4.9,19.4,96.6,24.8,42.5,132.2,179.8,157.6,159.4,304.7,33.9,0,1155.9,No
COASTAL ANDHRA PRADESH,1945,1,0,0,48,39.9,46.6,193.3,185.8,201.2,242,19.1,14.7,991.5,No
COASTAL ANDHRA PRADESH,1946,0,3.8,5.4,66,60.7,127.6,179.4,157.7,113.3,94.4,160,2,970.2,No
COASTAL ANDHRA PRADESH,1947,10.3,3,0.8,15.4,18.3,86.5,217.4,216.1,209.8,154.7,58.3,135.5,1126.2,No
COASTAL ANDHRA PRADESH,1948,1.4,26.8,7.4,24.8,44.6,92.7,193.5,113.8,232.7,103.7,181.6,1.5,1024.6,No
COASTAL ANDHRA PRADESH,1949,7.7,0.6,2.5,32.2,71.2,97.3,231.2,179.2,254.8,319.4,21.3,0,1217.3,No
COASTAL ANDHRA PRADESH,1950,0,17.2,31,7,52.8,97.8,221.8,132.3,192.5,130.1,103.2,0.3,986,No
COASTAL ANDHRA PRADESH,1951,1.2,0,27.9,46.1,75.4,133.7,285.2,186.5,174.1,89.7,74.2,2.2,1096.1,No
COASTAL ANDHRA PRADESH,1952,0,17.4,12.2,28.8,94.2,87.4,130.1,128.8,130.2,251.8,0,35.7,916.7,No
COASTAL ANDHRA PRADESH,1953,13.2,0.6,0,21.5,43.4,136.7,149.6,190.6,183.7,234.8,15.6,0.3,990,No
COASTAL ANDHRA PRADESH,1954,0.3,0,9,8,37.5,129.7,218.5,205.7,266.5,263,0,15.3,1153.5,No
COASTAL ANDHRA PRADESH,1955,5.1,0.3,18.6,14.2,250.1,118.8,128.9,263.6,177,325.9,76.2,0.3,1378.9,No
COASTAL ANDHRA PRADESH,1956,4.2,3.2,0.5,28.6,89.1,210.1,305.2,163.7,209.3,331.1,60.9,2.7,1408.5,No
COASTAL ANDHRA PRADESH,1957,0.7,1.8,21.2,14.3,28.3,152.6,149.5,298.1,198.8,125.5,26.9,0,1017.6,No
COASTAL ANDHRA PRADESH,1958,7.4,1.8,10.7,17.5,40.9,108.5,281.4,245.6,215.9,527.2,148.4,0.1,1605.3,No
COASTAL ANDHRA PRADESH,1959,5.8,10.7,0,14.7,11.5,178.8,272.3,230.9,161.1,227.3,2.6,5,1120.7,No
COASTAL ANDHRA PRADESH,1960,1.4,0.2,25.1,1.3,18.3,167.8,196.4,92.5,287.3,108.8,24.3,20.3,943.6,No
COASTAL ANDHRA PRADESH,1961,9.6,28.4,2.3,9,44.4,138.6,199.8,172.9,181.2,282.3,48.7,2.1,1119.2,No
COASTAL ANDHRA PRADESH,1962,3.7,8.7,0.9,34.6,69.6,121.1,231.3,179.1,288.1,357.6,35.8,15,1345.5,No
COASTAL ANDHRA PRADESH,1963,0,0,7,50.2,23.5,126.6,137.4,176.1,131.3,371.7,0.1,0,1023.9,No
COASTAL ANDHRA PRADESH,1964,0.7,11.2,1.1,6,33.5,116.9,170.1,226.4,353.6,76.2,64.6,0.7,1061,No
COASTAL ANDHRA PRADESH,1965,1.4,1.2,7.1,35.4,36.7,52,166.3,157.5,208.1,61.3,25,2.3,754.2,No
COASTAL ANDHRA PRADESH,1966,40.1,1.2,5,8.6,22.8,107.1,243.3,163.9,128.7,66.5,146.6,20.9,954.7,No
COASTAL ANDHRA PRADESH,1967,13.1,0.1,71.8,18.6,19.7,124.3,245.6,124.6,141.5,27.9,4.6,51.4,843.1,No
COASTAL ANDHRA PRADESH,1968,11.3,11.8,13.6,42.9,28,70.8,170.2,45.5,164.8,197.2,78.1,4.8,838.9,No
COASTAL ANDHRA PRADESH,1969,0.2,0.4,2.7,5.6,262.6,125.1,192.4,99.8,122.7,208,201.7,58.5,1279.7,No
COASTAL ANDHRA PRADESH,1970,0.9,9.7,22.3,18.7,95,174,182.5,243.5,133.3,183.3,0.8,0,1064.2,No
COASTAL ANDHRA PRADESH,1971,1,26.4,12.7,104.1,88.3,86.4,99.8,205.3,222,186.2,1,0,1033.2,No
COASTAL ANDHRA PRADESH,1972,0,32.5,0,32.1,20.7,125.1,121.3,80.8,191.6,324.2,86.8,13.3,1028.5,No
COASTAL ANDHRA PRADESH,1973,0,0.4,12,1.1,45.2,73.3,158.6,178.4,132.5,233.7,23.5,0.3,859.1,No
COASTAL ANDHRA PRADESH,1974,0.1,1.5,11.2,12.9,34.9,120.4,126.3,132.8,194.3,274.2,36.3,0,944.9,No
COASTAL ANDHRA PRADESH,1975,0.2,10.5,0.3,2.6,33.5,200.7,154.2,210.9,230.8,300.8,47.6,0.3,1192.4,No
COASTAL ANDHRA PRADESH,1976,0,1.1,2.7,22.7,36.9,78.4,199,228.8,92.2,81.3,345.9,1.1,1090.3,No
COASTAL ANDHRA PRADESH,1977,1.5,0,1.2,62.5,102.4,112.5,149.7,176.8,112.3,121,289.9,3,1132.8,No
COASTAL ANDHRA PRADESH,1978,9.1,18,12.2,29.4,19,166.7,193.1,258.5,194.2,77.8,54.2,6,1038.3,No
COASTAL ANDHRA PRADESH,1979,0.6,30.2,0.1,15.2,125.1,108.7,97.3,95.5,233.2,52.2,160.6,15.5,934.1,No
COASTAL ANDHRA PRADESH,1980,0.5,2.4,5.6,16.1,31.5,217.5,169.3,176.7,128,205,48.4,13.8,1014.8,No
COASTAL ANDHRA PRADESH,1981,16,0.1,31.4,15.2,62.3,99.7,181.3,149.5,264,89.7,18,2.1,929.3,No
COASTAL ANDHRA PRADESH,1982,1.6,0.5,7.5,37.5,47.6,94.4,151.2,148.3,135.7,210.6,53.5,0.1,888.5,No
COASTAL ANDHRA PRADESH,1983,0.1,17.3,4.6,8.8,56.2,147,188.1,264.1,259.2,232.7,7.6,10.2,1196,No
COASTAL ANDHRA PRADESH,1984,5.7,9.8,1.8,26.5,21.2,89.1,219,123.1,154.8,111.8,20.9,1.6,785.2,No
